t,r,r_dot,r_dot_dot,psi,psi_dot
1.60455001000118172017E+02,9.46334693141332526384E+00,-2.98483164740865827353E-01,-9.98637413334670471193E-03,3.46371772991617877125E+00,1.11663304583807713538E-02
1.60470001000118187018E+02,9.45438794008301287147E+00,-2.98783023016480049432E-01,-1.00041890561379472976E-02,3.46405303720310975475E+00,1.11875029461141634695E-02
1.60485001000118202019E+02,9.44541994497817298092E+00,-2.99083416721384664426E-01,-1.00220694788310690340E-02,3.46438898088817315291E+00,1.12087570780358294284E-02
1.60500001000118217021E+02,9.43644293000640117883E+00,-2.99384347825743100485E-01,-1.00400157462566960530E-02,3.46472556342744016284E+00,1.12300933044066346904E-02
1.60515001000118232022E+02,9.42745687901603271822E+00,-2.99685818310099308403E-01,-1.00580282056227450887E-02,3.46506278729053852775E+00,1.12515120787343956965E-02
1.60530001000118247023E+02,9.41846177579582992476E+00,-2.99987830165449387071E-01,-1.00761072065346506021E-02,3.46540065496075025560E+00,1.12730138578027630458E-02
1.60545001000118262025E+02,9.40945760407466766113E+00,-3.00290385393313819830E-01,-1.00942531010157962020E-02,3.46573916893511035377E+00,1.12945991017004097359E-02
1.60560001000118277026E+02,9.40044434752121629145E+00,-3.00593486005810306785E-01,-1.01124662435281538051E-02,3.46607833172450645657E+00,1.13162682738505295106E-02
1.60575001000118292027E+02,9.39142198974362278369E+00,-3.00897134025727261078E-01,-1.01307469909931316729E-02,3.46641814585377924839E+00,1.13380218410406475533E-02
1.60590001000118307029E+02,9.38239051428918950908E+00,-3.01201331486597876974E-01,-1.01490957028126346308E-02,3.46675861386182394505E+00,1.13598602734527483640E-02
1.60605001000118322030E+02,9.37334990464405075784E+00,-3.01506080432774888392E-01,-1.01675127408903388930E-02,3.46709973830169245271E+00,1.13817840446937246626E-02
1.60620001000118337031E+02,9.36430014423284684880E+00,-3.01811382919505921907E-01,-1.01859984696531842325E-02,3.46744152174069664987E+00,1.14037936318261515253E-02
1.60635001000118352033E+02,9.35524121641839655466E+00,-3.02117241013009538050E-01,-1.02045532560730845664E-02,3.46778396676051251413E+00,1.14258895153993879628E-02
1.60650001000118367034E+02,9.34617310450136647842E+00,-3.02423656790551904303E-01,-1.02231774696888622760E-02,3.46812707595728524166E+00,1.14480721794810132915E-02
1.60665001000118382035E+02,9.33709579171993848262E+00,-3.02730632340524127388E-01,-1.02418714826284066358E-02,3.46847085194173515533E+00,1.14703421116885997081E-02
1.60680001000118397037E+02,9.32800926124947501778E+00,-3.03038169762520264865E-01,-1.02606356696310592644E-02,3.46881529733926480589E+00,1.14926998032218255651E-02
1.60695001000118412038E+02,9.31891349620218156780E+00,-3.03346271167416007175E-01,-1.02794704080702308949E-02,3.46916041479006683336E+00,1.15151457488949354766E-02
1.60710001000118427039E+02,9.30980847962676708734E+00,-3.03654938677448049808E-01,-1.02983760779762503581E-02,3.46950620694923297124E+00,1.15376804471695493620E-02
1.60725001000118442041E+02,9.30069419450810210091E+00,-3.03964174426294129127E-01,-1.03173530620594491894E-02,3.46985267648686388658E+00,1.15603044001878255652E-02
1.60740001000118457042E+02,9.29157062376687413723E+00,-3.04273980559153783024E-01,-1.03364017457334853147E-02,3.47019982608818017061E+00,1.15830181138059832208E-02
1.60755001000118472043E+02,9.28243775025924102752E+00,-3.04584359232829807347E-01,-1.03555225171389075473E-02,3.47054765845363419135E+00,1.16058220976281870217E-02
1.60770001000118487045E+02,9.27329555677648120684E+00,-3.04895312615810407775E-01,-1.03747157671669655031E-02,3.47089617629902311754E+00,1.16287168650408010246E-02
1.60785001000118502046E+02,9.26414402604464247946E+00,-3.05206842888352092980E-01,-1.03939818894836648255E-02,3.47124538235560287395E+00,1.16517029332470124280E-02
1.60800001000118517047E+02,9.25498314072418718640E+00,-3.05518952242563267914E-01,-1.04133212805540749198E-02,3.47159527937020313598E+00,1.16747808233018351074E-02
1.60815001000118532049E+02,9.24581288340963555750E+00,-3.05831642882488588970E-01,-1.04327343396668884471E-02,3.47194587010534352618E+00,1.16979510601474931616E-02
1.60830001000118547050E+02,9.23663323662920652656E+00,-3.06144917024194025603E-01,-1.04522214689592371139E-02,3.47229715733935057694E+00,1.17212141726491910299E-02
1.60845001000118562051E+02,9.22744418284445550547E+00,-3.06458776895852711634E-01,-1.04717830734417678647E-02,3.47264914386647613334E+00,1.17445706936312763100E-02
1.60860001000118577053E+02,9.21824570444991017292E+00,-3.06773224737831506269E-01,-1.04914195610239803226E-02,3.47300183249701661416E+00,1.17680211599137975119E-02
1.60875001000118592054E+02,9.20903778377270297584E+00,-3.07088262802778366403E-01,-1.05111313425398314136E-02,3.47335522605743343108E+00,1.17915661123494650334E-02
1.60890001000118607055E+02,9.19982040307220203142E+00,-3.07403893355710446583E-01,-1.05309188317736067224E-02,3.47370932739047449554E+00,1.18152060958610161053E-02
1.60905001000118622057E+02,9.19059354453963794126E+00,-3.07720118674103016489E-01,-1.05507824454860671505E-02,3.47406413935529696725E+00,1.18389416594789951930E-02
1.60920001000118637058E+02,9.18135719029772907548E+00,-3.08036941047979139960E-01,-1.05707226034408686527E-02,3.47441966482759103589E+00,1.18627733563799485238E-02
1.60935001000118652059E+02,9.17211132240030401798E+00,-3.08354362780000164617E-01,-1.05907397284312611682E-02,3.47477590669970477972E+00,1.18867017439250413335E-02
1.60950001000118667061E+02,9.16285592283192062459E+00,-3.08672386185557018953E-01,-1.06108342463070713029E-02,3.47513286788077039734E+00,1.19107273836991046395E-02
1.60965001000118682062E+02,9.15359097350748287039E+00,-3.08991013592862312460E-01,-1.06310065860019696273E-02,3.47549055129683148063E+00,1.19348508415501139163E-02
1.60980001000118697063E+02,9.14431645627185500907E+00,-3.09310247343043266286E-01,-1.06512571795610270728E-02,3.47584895989097156341E+00,1.19590726876291064191E-02
1.60995001000118712065E+02,9.13503235289947262011E+00,-3.09630089790235465172E-01,-1.06715864621685648366E-02,3.47620809662344366453E+00,1.19833934964305438491E-02
